ID,Total_Area_sqft,Bedrooms,City,Country,Distance_to_CityCenter_km,Price,Population_Density,Year_to_build
3,1054,4,Calgary,Canada,15.7517395,341.24683,4643,2014
6,1369,4,Ottawa,Canada,1.7224487,1282.9921,5660,2022
85,1590,5,Calgary,Canada,4.0841494,1105.718,14680,2025
132,1861,5,Calgary,Canada,6.8939857,1219.3154,12927,2024
157,799,4,Montreal,Canada,12.265192,402.6249,12358,2019
185,1137,4,Toronto,Canada,15.824571,410.64896,12512,2020
186,2064,1,Calgary,Canada,16.404139,531.5195,12656,2025
265,926,3,Toronto,Canada,3.5500927,621.859,8409,2022
273,830,2,Toronto,Canada,7.6025696,449.13516,2845,2009
336,1616,3,Calgary,Canada,3.3117166,994.3525,16431,2021
441,1443,3,Calgary,Canada,1.5612407,1071.6046,14722,2024
468,822,7,Vancouver,Canada,6.4517455,752.7767,8005,2024
575,1321,5,Calgary,Canada,15.79481,564.8892,15540,2020
582,1190,4,Calgary,Canada,19.165636,390.8604,13439,2024
593,1860,3,Toronto,Canada,10.742752,870.9923,7952,2023
595,968,2,Calgary,Canada,15.056879,306.03864,6111,2019
603,491,4,Calgary,Canada,8.293747,283.53476,15422,2016
614,1401,2,Montreal,Canada,5.7028813,926.7383,4779,2018
646,1455,4,Montreal,Canada,1.9725715,1101.4933,11888,2022
656,1833,3,Montreal,Canada,4.8464284,903.2108,6723,2024
872,2918,2,Toronto,Canada,10.413179,1216.9111,12501,2017
898,2362,2,Vancouver,Canada,15.092487,835.99347,5528,2022
934,1442,3,Vancouver,Canada,8.593446,745.0609,5709,2023
958,1330,5,Toronto,Canada,9.381045,594.50696,11256,2023
959,1452,3,Calgary,Canada,6.253992,701.035,15845,2023
977,2196,5,Calgary,Canada,9.1722555,893.3042,9005,2022
1017,997,4,Toronto,Canada,5.363302,522.4357,8108,2017
1101,1582,4,Toronto,Canada,6.763649,835.70886,2783,2021
1149,2434,4,Montreal,Canada,1.8120664,2272.0156,5477,2025
1202,1727,3,Toronto,Canada,13.89106,651.1775,7649,2004
1297,950,3,Montreal,Canada,8.155955,485.09946,532,2018
1319,1988,2,Ottawa,Canada,23.82638,605.39954,13290,2025
1346,1009,4,Ottawa,Canada,12.211047,363.2408,14284,2025
1358,937,4,Ottawa,Canada,7.058907,374.03287,12274,2023
1560,882,4,Toronto,Canada,5.744285,527.6457,10638,2021
1584,1473,5,Calgary,Canada,11.210015,765.824,12901,2023
1590,972,4,Vancouver,Canada,4.701703,537.9249,5638,2018
1633,1544,3,Vancouver,Canada,7.4179482,721.3037,10561,2019
1730,1905,2,Calgary,Canada,1.107504,1312.2123,2822,2024
1734,1406,3,Calgary,Canada,6.4937406,667.75934,12209,2016
1738,598,6,Montreal,Canada,3.500477,482.33316,8874,2025
1758,1991,1,Ottawa,Canada,2.7581952,904.3999,14075,2008
1863,1641,7,Ottawa,Canada,11.79339,894.90204,13723,2018
2043,1535,2,Vancouver,Canada,8.068409,672.1131,6891,2011
2106,868,5,Vancouver,Canada,11.006912,424.1849,7884,2024
2107,1298,3,Toronto,Canada,7.8608847,619.72614,12781,2021
2156,2846,3,Montreal,Canada,3.3748703,1744.4827,6222,2023
2194,2366,3,Montreal,Canada,5.5261035,1099.1808,7099,2021
2228,1988,2,Ottawa,Canada,5.030154,1284.3392,6719,2011
2315,859,7,Ottawa,Canada,1.3871641,1012.387,14685,2008
2335,1271,3,Vancouver,Canada,14.452964,449.9653,10308,2002
2355,3541,5,Ottawa,Canada,20.8248,1340.4257,13190,2018
2421,1183,5,Toronto,Canada,11.384421,590.15436,9300,2025
2435,844,6,Vancouver,Canada,9.27975,482.61896,11046,2020
2461,1676,4,Montreal,Canada,4.256892,1050.6139,11770,2025
2570,409,1,Calgary,Canada,9.211629,159.71384,8336,2024
2585,1481,5,Vancouver,Canada,12.671548,884.15155,9717,2025
2617,1783,2,Vancouver,Canada,1.3610013,1018.14215,8391,2025
2629,688,5,Ottawa,Canada,4.7970676,374.2963,9317,2007
2714,1799,6,Ottawa,Canada,3.3029273,1455.6014,8483,2023
2729,1672,3,Calgary,Canada,2.3612974,812.4068,16513,2013
2783,4329,4,Vancouver,Canada,2.2539876,4173.6377,5659,2018
2883,2755,3,Ottawa,Canada,22.230972,868.70013,6274,2025
2890,1193,3,Toronto,Canada,3.3784983,841.4816,9999,2018
2893,1436,3,Ottawa,Canada,8.720233,493.3055,13936,2020
2965,795,2,Montreal,Canada,2.742854,480.701,4293,2017
3003,2318,4,Ottawa,Canada,4.888335,1336.2615,12660,2021
3106,560,3,Vancouver,Canada,17.862349,167.24068,5630,2021
3141,2740,4,Vancouver,Canada,7.3279014,1750.904,10348,2025
3145,845,4,Vancouver,Canada,5.3505025,561.63336,7296,2016
3183,625,3,Calgary,Canada,13.4884405,249.61035,13478,2003
3200,1055,2,Montreal,Canada,15.804666,392.11273,4162,2022
3261,1564,4,Vancouver,Canada,2.692643,1327.2949,5128,2025
3269,797,7,Toronto,Canada,6.1231427,553.34894,7678,2024
3295,800,6,Toronto,Canada,9.345455,468.10284,9485,2023
3364,1015,5,Calgary,Canada,11.861791,522.9156,11624,2022
3479,750,4,Toronto,Canada,10.427205,423.29547,11641,2013
3516,1252,2,Montreal,Canada,9.733857,446.93158,3886,2009
3568,1473,5,Ottawa,Canada,3.5490544,1080.3136,14239,2010
3685,586,3,Montreal,Canada,12.665993,215.05327,12177,2017
3728,1906,3,Montreal,Canada,10.536414,932.2608,11440,2025
3766,3108,2,Calgary,Canada,12.458281,1249.8434,14935,2020
3831,705,4,Montreal,Canada,16.06384,288.54132,11759,2022
3861,1568,3,Vancouver,Canada,4.501601,1196.628,11666,2011
3885,1348,5,Montreal,Canada,1.704415,960.9532,8038,2020
3962,1519,2,Vancouver,Canada,1.5395229,1049.792,6322,2025
4030,1697,4,Montreal,Canada,11.623813,960.013,9079,2013
4079,1742,4,Calgary,Canada,14.122816,490.80667,13658,2023
4111,2211,4,Vancouver,Canada,14.361009,981.25836,7546,2025
4152,1869,8,Toronto,Canada,12.61566,1306.923,2216,2024
4157,1254,2,Toronto,Canada,6.6029215,582.6472,9198,2025
4172,653,5,Calgary,Canada,2.5770986,454.1087,7465,2025
4175,3166,3,Toronto,Canada,2.4034305,2737.1018,12149,2023
4205,2395,2,Ottawa,Canada,11.903683,1045.4243,14300,2022
4278,1580,4,Calgary,Canada,7.226984,729.7738,16260,2024
4363,1030,3,Vancouver,Canada,12.434538,606.44995,5003,2021
4398,1117,3,Montreal,Canada,13.200906,451.95053,11781,2024
4448,1399,3,Calgary,Canada,16.340754,467.94388,9024,2025
4465,1650,4,Vancouver,Canada,3.2455027,1541.9149,9728,2015
4546,1952,3,Toronto,Canada,6.2870975,1083.1901,5138,2019
4555,833,3,Calgary,Canada,23.627417,269.96417,12070,2022
4637,2313,5,Vancouver,Canada,16.489922,964.5247,3146,2023
4644,845,4,Toronto,Canada,1.3835067,720.47,12697,2022
4824,1167,1,Ottawa,Canada,3.1816363,719.63763,13798,2025
4914,890,3,Vancouver,Canada,3.6907825,621.09454,4537,2024
4939,914,4,Vancouver,Canada,4.1785016,497.0315,4755,2024
4970,1155,3,Toronto,Canada,10.10124,550.3105,12176,2024
4981,752,2,Montreal,Canada,7.797883,380.93625,6642,2024
4990,854,2,Toronto,Canada,6.6755137,413.34366,4784,2025
5073,1666,3,Ottawa,Canada,17.783854,618.0671,8373,2015
5139,756,2,Montreal,Canada,3.326626,354.0481,2396,2023
5152,1814,3,Toronto,Canada,19.222616,630.1688,3052,2021
5215,2082,3,Vancouver,Canada,15.489075,725.20184,2833,1998
5236,570,5,Ottawa,Canada,6.363152,386.97916,13821,2023
5316,1439,2,Ottawa,Canada,0.7513848,1055.4022,6794,2018
5372,646,3,Montreal,Canada,2.8891737,425.97568,662,2018
5396,4626,5,Vancouver,Canada,3.675262,3150.9548,9424,2025
5412,1149,5,Calgary,Canada,17.689058,368.8031,3566,2017
5424,710,3,Montreal,Canada,2.9857633,407.49594,9336,2021
5426,1614,4,Calgary,Canada,6.697365,803.8863,14560,2025
5439,622,4,Ottawa,Canada,5.24492,320.69354,14649,2018
5549,1321,4,Montreal,Canada,11.969381,550.9347,7648,2015
5558,2332,3,Ottawa,Canada,16.680702,848.9935,13054,2016
5561,806,1,Vancouver,Canada,11.00025,255.88231,7441,2020
5580,1276,4,Montreal,Canada,7.830757,681.09625,12946,2015
5612,1728,3,Calgary,Canada,4.448427,1012.05896,3894,2019
5684,1076,4,Montreal,Canada,3.8692026,803.5539,5428,2023
5709,1001,2,Calgary,Canada,3.0765712,607.4802,14592,2021
5750,849,3,Calgary,Canada,5.4597006,414.75998,16753,2025
5790,2787,5,Toronto,Canada,4.9770412,1821.9451,9847,2011
5869,1950,4,Vancouver,Canada,1.1470896,1610.95,7410,2024
5872,1564,8,Toronto,Canada,28.257702,671.95404,7862,2015
5875,752,4,Calgary,Canada,8.234288,340.61215,11453,2015
5882,1450,6,Ottawa,Canada,8.807829,962.0768,14641,2025
5940,2508,2,Montreal,Canada,16.862795,1145.7662,12712,2019
5962,1680,5,Ottawa,Canada,13.424052,608.776,12972,2008
5991,2634,4,Ottawa,Canada,5.572583,1497.4868,3116,2025
6003,969,3,Calgary,Canada,34.147144,262.1597,6254,2019
6077,2780,3,Calgary,Canada,6.0146766,1611.3132,15911,2023
6146,761,2,Vancouver,Canada,3.1792343,553.0864,11564,2025
6195,1588,2,Toronto,Canada,25.717903,356.6713,6747,2010
6218,2128,4,Vancouver,Canada,12.373711,1040.2999,11795,2007
6237,1386,3,Vancouver,Canada,1.964864,903.0552,9118,2021
6246,854,2,Toronto,Canada,1.9377029,696.42126,8806,2023
6302,1147,3,Vancouver,Canada,17.608025,485.0577,9010,2021
6365,2036,8,Ottawa,Canada,5.556177,1377.1143,9269,2025
6483,891,3,Ottawa,Canada,17.169157,350.40033,15504,2007
6511,1960,4,Calgary,Canada,3.3457534,1164.6365,10222,2015
6519,1387,4,Toronto,Canada,10.029404,694.65765,7130,2025
6523,1230,3,Vancouver,Canada,10.737969,558.06415,9310,2023
6557,857,3,Montreal,Canada,8.4750185,484.80878,7898,2022
6602,1718,5,Montreal,Canada,4.181496,1116.2196,11551,2024
6705,1472,6,Montreal,Canada,3.3333309,1310.8829,6985,2023
6710,718,4,Vancouver,Canada,6.4970007,394.61322,4678,2018
6740,1086,6,Ottawa,Canada,6.195281,836.07794,10174,2025
6758,1770,4,Calgary,Canada,2.5815997,1329.9316,13757,2025
6791,1648,2,Ottawa,Canada,3.8592167,705.28174,4777,2016
6840,664,4,Toronto,Canada,6.652738,445.4905,11126,2007
6894,607,4,Montreal,Canada,5.8041506,382.14188,11324,2025
6895,1107,3,Toronto,Canada,1.17257,1060.0724,11830,2022
6966,3461,3,Vancouver,Canada,0.5131919,2988.1462,10377,2021
